Status	Gene_ID	Location	NR_blast_Eval	NR_hit	SP_blast_Eval	SP_hit
coding	CHS.11569	chr12:49536677-49538804:-	9e-44	EHH59362.1, hypothetical protein EGM_09449, partial [Macaca fascicularis]	2.46e-34	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.11637	chr12:51813183-51814957:-	0.0	EAW58204.1, hCG1648055 [Homo sapiens]	-	-
non-coding	CHS.11643	chr12:51857665-51858073:-	4e-31	EHH16997.1, hypothetical protein EGK_13278, partial [Macaca mulatta]	5.23e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.1166	chr1:34948445-34948924:+	4e-44	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.1172	chr1:35116504-35118822:-	3e-33	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
discard	CHS.11841	chr12:55740329-55743013:-	3e-17	BAE89731.1, unnamed protein product [Macaca fascicularis]	-	-
discard	CHS.11864	chr12:56074865-56076840:-	1e-40	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.1187	chr1:35642124-35644363:+	2e-21	BAB21923.1, hypothetical protein [Macaca fascicularis]	-	-
discard	CHS.1189	chr1:35692336-35707698:-	4e-27	BAB70813.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.11895	chr12:56518895-56519805:-	2e-22	EHH15638.1, hypothetical protein EGK_01753, partial [Macaca mulatta]	1.82e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.11903	chr12:56694611-56712348:+	3e-22	CAE98892.1, unnamed protein product, partial [Homo sapiens]	8.82e-17	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1
non-coding	CHS.11958	chr12:57642708-57643521:+	8e-39	EHH20263.1, hypothetical protein EGK_03078, partial [Macaca mulatta]	5.48e-26	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.12	chr1:352749-356597:-	1e-51	EAW51440.1, hCG15392, isoform CRA_a [Homo sapiens]	-	-
non-coding	CHS.1252	chr1:37791468-37793391:-	3e-16	EAX08724.1, hCG2038303, partial [Homo sapiens]	-	-
discard	CHS.12531	chr12:98551553-98589338:-	8e-28	XP_003832768.1, PREDICTED: putative uncharacterized protein encoded by LINC00596 [Pan paniscus]	6.23e-16	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.12732	chr12:109778377-109782796:+	9e-25	EHH22084.1, hypothetical protein EGK_05279, partial [Macaca mulatta]	2.62e-21	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
non-coding	CHS.1291	chr1:39064305-39072725:+	2e-19	XP_017715572.1, PREDICTED: putative uncharacterized protein encoded by LINC00269, partial [Rhinopithecus bieti]	-	-
discard	CHS.12964	chr12:120283365-120286881:-	3e-25	CAE98892.1, unnamed protein product, partial [Homo sapiens]	1.19e-17	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.13016	chr12:121597268-121601725:+	3e-31	CAF17222.1, unnamed protein product, partial [Homo sapiens]	7.67e-16	sp|Q96CB5|CH044_HUMAN, Putative uncharacterized protein C8orf44 OS=Homo sapiens GN=C8orf44 PE=2 SV=2
discard	CHS.13019	chr12:121597299-121601704:-	3e-25	CAD69516.1, unnamed protein product [Homo sapiens]	7.32e-22	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.1302	chr1:39588026-39620353:-	4e-19	EAX06569.1, KIAA1799 protein, isoform CRA_b [Homo sapiens]	-	-
discard	CHS.13067	chr12:122731114-122733519:-	4e-34	EAW81162.1, hCG1814203 [Homo sapiens]	-	-
non-coding	CHS.13075	chr12:122902328-122913246:+	2e-51	CAD69798.1, unnamed protein product [Homo sapiens]	4.34e-18	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.13093	chr12:123443771-123450666:-	2e-18	CAE92120.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.13095	chr12:123446550-123447907:-	2e-28	EHH51808.1, hypothetical protein EGM_11255, partial [Macaca fascicularis]	1.88e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.13205	chr12:127351728-127359194:+	5e-22	EAW76711.1, hCG2023281 [Homo sapiens]	-	-
discard	CHS.13214	chr12:127673558-127693633:+	1e-21	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	1.20e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.13215	chr12:127704434-127717001:+	7e-23	CAE93864.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.13235	chr12:129066485-129066754:+	3e-29	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	2.27e-16	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.13287	chr12:131279946-131282977:-	6e-33	BAC85788.1, unnamed protein product [Homo sapiens]	2.90e-24	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.13352	chr12:132588276-132592302:-	8e-30	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	9.35e-18	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.13362	chr12:132762107-132768872:+	4e-53	EAW54822.1, hCG1788270, partial [Homo sapiens]	-	-
discard	CHS.13384	chr12_GL383551v1_alt:27630-116225:+	8e-26	EHH14636.1, hypothetical protein EGK_00596, partial [Macaca mulatta]	1.43e-21	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
coding	CHS.13428	chr12_KI270836v1_alt:51298-56133:-	3e-16	KFO25700.1, Cysteine-rich, acidic integral membrane protein [Fukomys damarensis]	-	-
coding	CHS.13457	chr13:18232317-18238305:+	0.0	CAB63715.1, hypothetical protein, partial [Homo sapiens]	0.0	sp|Q9UF83|YM012_HUMAN, Uncharacterized protein DKFZp434B061 OS=Homo sapiens PE=2 SV=2
discard	CHS.13521	chr13:21185712-21187386:-	2e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.13535	chr13:21649905-21671022:-	8e-24	CAF14927.1, unnamed protein product, partial [Homo sapiens]	1.86e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.13539	chr13:21881677-21905587:+	5e-34	BAC85788.1, unnamed protein product [Homo sapiens]	3.44e-23	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.13556	chr13:22999583-23003079:-	2e-44	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	2.88e-35	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.1362	chr1:41302946-41308117:-	7e-59	CAF15144.1, unnamed protein product, partial [Homo sapiens]	2.86e-41	sp|Q53H47|SETMR_HUMAN, Histone-lysine N-methyltransferase SETMAR OS=Homo sapiens GN=SETMAR PE=1 SV=2
non-coding	CHS.13719	chr13:30836422-30840605:-	3e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.13808	chr13:36833964-36844820:+	2e-43	BAB15071.1, unnamed protein product [Homo sapiens]	3.65e-34	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.13906	chr13:42732319-42747456:-	3e-17	BAK63765.1, long-chain-fatty-acid--CoA ligase 3 [Pan troglodytes]	-	-
discard	CHS.13975	chr13:45320538-45332217:-	3e-28	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	3.56e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.14057	chr13:49592763-49594479:+	2e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.14066	chr13:49909304-49912397:+	3e-28	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	3.50e-16	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.14068	chr13:49936596-49975204:+	1e-21	BAE91211.1, unnamed protein product [Macaca fascicularis]	-	-
discard	CHS.1411	chr1:43323115-43328744:-	3e-45	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	8.58e-16	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.14221	chr13:63397128-63459362:+	2e-19	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
discard	CHS.1424	chr1:43501262-43505903:+	2e-16	EHH59362.1, hypothetical protein EGM_09449, partial [Macaca fascicularis]	-	-
discard	CHS.14241	chr13:65970339-65982606:+	2e-17	EHH54194.1, hypothetical protein EGM_14979, partial [Macaca fascicularis]	-	-
discard	CHS.14334	chr13:76843056-76846954:-	5e-24	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
non-coding	CHS.14351	chr13:77430588-77444221:+	1e-26	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	1.21e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.144	chr1:2314906-2324302:+	4e-52	EAW56116.1, hCG2041674, partial [Homo sapiens]	-	-
discard	CHS.14407	chr13:81188098-81220813:+	7e-31	BAH12795.1, unnamed protein product [Homo sapiens]	1.19e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.14411	chr13:81394295-81407104:-	3e-29	EAX02280.1, hCG1991573 [Homo sapiens]	3.47e-17	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.14416	chr13:82909240-82913563:+	7e-27	BAB21923.1, hypothetical protein [Macaca fascicularis]	-	-
discard	CHS.14453	chr13:87975483-87977511:-	6e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.14454	chr13:87975640-87976948:+	7e-79	AAK21302.1, FKSG49 [Homo sapiens]	-	-
coding	CHS.14487	chr13:91394323-91397496:+	2e-28	EHH16997.1, hypothetical protein EGK_13278, partial [Macaca mulatta]	3.48e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.14518	chr13:95415285-95419130:-	2e-31	EAW68953.1, hCG1814039, partial [Homo sapiens]	1.26e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.14810	chr13:113269836-113272525:-	9e-36	EHH60624.1, hypothetical protein EGM_12020, partial [Macaca fascicularis]	1.28e-33	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.14817	chr13:113372202-113394084:-	8e-31	BAC85397.1, unnamed protein product [Homo sapiens]	3.85e-20	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
coding	CHS.14848	chr13:114132708-114149199:+	3e-22	XP_007960560.1, PREDICTED: uncharacterized protein LOC103215711 [Chlorocebus sabaeus]	4.25e-16	sp|B8NM66|USTA_ASPFN, Ribosomally synthesized cyclic peptide ustiloxin B precursosr OS=Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / NRRL 3357 / JCM 12722 / SRRC 167) GN=ustA PE=1 SV=1
coding	CHS.14884	chr14:19009376-19016607:+	8e-37	XP_008017879.1, PREDICTED: uncharacterized protein LOC103247567 [Chlorocebus sabaeus]	-	-
discard	CHS.14914	chr14:20309685-20311267:+	6e-42	EAW51232.1, hCG1820357 [Homo sapiens]	-	-
discard	CHS.15179	chr14:30359537-30363541:-	9e-33	EAW59739.1, hCG1817513 [Homo sapiens]	2.29e-16	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.15268	chr14:35393702-35399178:-	5e-34	EHH51985.1, hypothetical protein EGM_12341, partial [Macaca fascicularis]	1.50e-31	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.15278	chr14:35814462-35819034:+	7e-25	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	8.86e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.15334	chr14:39139902-39147781:+	5e-30	EHH51985.1, hypothetical protein EGM_12341, partial [Macaca fascicularis]	7.95e-26	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.15336	chr14:39139677-39146407:-	3e-46	AAG35515.1, PRO2550 [Homo sapiens]	5.22e-33	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
discard	CHS.1546	chr1:47328354-47334223:-	7e-42	EHH20263.1, hypothetical protein EGK_03078, partial [Macaca mulatta]	1.10e-24	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.15528	chr14:54201805-54204998:+	4e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.15529	chr14:54206520-54212737:+	3e-16	EAW55411.1, hCG1979495 [Homo sapiens]	-	-
non-coding	CHS.15553	chr14:55078830-55103329:-	3e-33	EHH14529.1, hypothetical protein EGK_00471, partial [Macaca mulatta]	4.62e-23	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.15846	chr14:70712116-70718482:-	2e-26	EHH64557.1, hypothetical protein EGM_17802, partial [Macaca fascicularis]	4.95e-25	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.1594	chr1:51274306-51287134:-	1e-28	CAF15923.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.15979	chr14:76092704-76098346:-	4e-16	BAB21923.1, hypothetical protein [Macaca fascicularis]	-	-
discard	CHS.16079	chr14:83144654-83196398:-	1e-42	CAF16551.1, unnamed protein product, partial [Homo sapiens]	1.03e-21	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.1622	chr1:52671957-52684213:-	8e-51	AAG35515.1, PRO2550 [Homo sapiens]	9.34e-29	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
coding	CHS.16275	chr14:95320173-95322798:+	5e-47	XP_016782179.1, PREDICTED: chromosome alignment-maintaining phosphoprotein 1-like [Pan troglodytes]	-	-
coding	CHS.16287	chr14:95519726-95527245:-	3e-96	EAW81604.1, hCG2038093, partial [Homo sapiens]	-	-
non-coding	CHS.16326	chr14:97197097-97208599:-	1e-19	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	1.18e-19	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1
discard	CHS.16328	chr14:97408993-97426918:-	1e-25	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	1.49e-21	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.16486	chr14:103508361-103512625:+	1e-30	AAF24054.1, PRO0657, partial [Homo sapiens]	-	-
coding	CHS.16517	chr14:104293439-104300910:+	6e-61	ELR53142.1, hypothetical protein M91_08612, partial [Bos mutus]	-	-
coding	CHS.16570	chr14:105083404-105087423:+	2e-23	ELR48704.1, hypothetical protein M91_18454, partial [Bos mutus]	-	-
coding	CHS.16591	chr14:105582536-105585875:-	8e-36	C45874, Ig alpha-2 chain C region - human (fragment)	-	-
non-coding	CHS.16690	chr15:20201744-20204590:+	1e-33	BAC85254.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.16691	chr15:20202996-20204581:-	2e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
coding	CHS.16693	chr15:20295021-20332723:+	5e-37	EAW59499.1, hCG2038561, partial [Homo sapiens]	-	-
discard	CHS.16723	chr15:21769262-21775671:-	5e-39	EHH55556.1, hypothetical protein EGM_04788, partial [Macaca fascicularis]	6.20e-38	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.16747	chr15:22655746-22656076:+	1e-33	BAE91091.1, unnamed protein product [Macaca fascicularis]	5.77e-23	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
coding	CHS.16882	chr15:30184194-30195602:+	7e-46	XP_007987112.1, PREDICTED: uncharacterized protein LOC103230306 [Chlorocebus sabaeus]	-	-
coding	CHS.16925	chr15:32343075-32352006:-	5e-45	XP_007987112.1, PREDICTED: uncharacterized protein LOC103230306 [Chlorocebus sabaeus]	-	-
non-coding	CHS.1693	chr1:54895915-54896539:+	3e-38	EAW56733.1, similar to zinc finger protein 569, isoform CRA_a [Homo sapiens]	4.45e-28	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.16962	chr15:34137299-34140108:+	5e-25	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
coding	CHS.17	chr1:499860-523759:-	2e-21	EHH16558.1, hypothetical protein EGK_11851, partial [Macaca mulatta]	2.10e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.1708	chr1:55870368-55880337:+	1e-21	EAW68605.1, hCG1820850 [Homo sapiens]	1.16e-16	sp|E7EU14|PP5D1_HUMAN, Protein PPP5D1 OS=Homo sapiens GN=PPP5D1 PE=2 SV=2
discard	CHS.17101	chr15:40394297-40396779:-	6e-30	EHH51985.1, hypothetical protein EGM_12341, partial [Macaca fascicularis]	1.40e-28	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.17129	chr15:40866851-40872019:-	7e-43	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	6.67e-36	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.17233	chr15:44241540-44245543:+	2e-25	EHH66749.1, hypothetical protein EGM_03798, partial [Macaca fascicularis]	3.60e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.17264	chr15:45333064-45339138:-	5e-27	EHH64557.1, hypothetical protein EGM_17802, partial [Macaca fascicularis]	1.39e-23	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.17268	chr15:45421491-45430462:-	3e-30	EHH64647.1, hypothetical protein EGM_17921, partial [Macaca fascicularis]	8.78e-23	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.1747	chr1:58701184-58701515:-	1e-34	BAE89454.1, unnamed protein product [Macaca fascicularis]	1.02e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.17554	chr15:63486063-63498075:-	1e-48	AAG35515.1, PRO2550 [Homo sapiens]	3.32e-31	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.17555	chr15:63487164-63492017:+	1e-37	EHH24426.1, hypothetical protein EGK_08082, partial [Macaca mulatta]	2.74e-26	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.17710	chr15:70041954-70045206:-	2e-22	EHH24426.1, hypothetical protein EGK_08082, partial [Macaca mulatta]	-	-
non-coding	CHS.17813	chr15:74054166-74058907:+	2e-35	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	1.34e-26	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.17908	chr15:75665573-75670219:-	4e-19	EAW54898.1, hCG1811730 [Homo sapiens]	-	-
discard	CHS.17910	chr15:75665112-75673603:+	9e-23	CAF16398.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.17930	chr15:76325903-76327126:+	5e-39	EHH57493.1, hypothetical protein EGM_07132, partial [Macaca fascicularis]	8.98e-36	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.17966	chr15:78309903-78313011:+	4e-16	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	4.67e-16	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.17981	chr15:78754079-78756546:+	2e-44	CAF86063.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.18036	chr15:80641631-80650016:+	2e-16	AAM46782.1, hepatocellular carcinoma-associated antigen HCA25a [Homo sapiens]	-	-
coding	CHS.18130	chr15:84468602-84473694:+	1e-85	AAK15476.1, colon cancer-associated antigen AgSK1-2HT-ECS [Homo sapiens]	-	-
discard	CHS.18185	chr15:88551764-88553108:-	6e-37	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.18222	chr15:89754247-89756982:-	1e-16	AAC50940.1, unknown [Homo sapiens]	-	-
discard	CHS.18303	chr15:92870132-92878958:+	3e-22	XP_016814489.1, PREDICTED: protein GVQW2-like, partial [Pan troglodytes]	1.74e-23	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1
coding	CHS.18419	chr15:99472310-99476307:-	2e-35	BAC41235.1, hypothetical protein [Macaca fascicularis]	-	-
non-coding	CHS.18480	chr15:101724652-101736740:+	3e-30	CAF16783.1, unnamed protein product, partial [Homo sapiens]	4.10e-19	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
coding	CHS.18601	chr15_KI270905v1_alt:3097927-3101916:-	7e-43	EAW61253.1, hCG1773681, partial [Homo sapiens]	-	-
