Status	Transcript_ID	Gene_ID	Location	Transcript_Length	No_of_exons	No_of_samples	Average_TPM	Maximum_TPM	NR_Eval	NR_hit	SP_Eval	SP_hit	CDD_Eval	Pfam_Eval	CDSlen	CDSreps	CDSrepeatcov	ALU_cdcov	LINE_cdcov	GencodeCall
non-coding	CHS.4144.1	CHS.4144	chr1:201448770-201451502:+	2654	2	53	1.61641671698113	2.912908	3e-31	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	9.14e-25	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	306	Simple_repeat:38,SINE|Alu:222	85.0	72.5	0	SINE/Alu;Simple_repeat
discard	CHS.10242.1	CHS.10242	chr11:121958716-121961024:+	1983	2	2	0.910565	1.427726	2e-16	AAL23680.1, non-small cell lung cancer RimL3b protein, partial [Homo sapiens]	-	-	-	-	426	DNA|hAT?:127,SINE|Alu:120	58.0	28.2	0	DNA/hAT?;SINE/Alu
non-coding	CHS.50817.1	CHS.50817	chr7:67361803-67367716:+	5914	1	2905	2.42328743993115	20.38497	3e-26	EAW78227.1, hCG1811714 [Homo sapiens]	-	-	-	-	288	SINE|Alu:228	79.2	79.2	0	SINE/Alu
non-coding	CHS.16326.6	CHS.16326	chr14:97197150-97199500:-	1578	2	18	1.68995333333333	3.206908	1e-19	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	1.18e-19	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1	-	-	222	SINE|Alu:142	64.0	64.0	0	SINE/Alu
non-coding	CHS.50857.4	CHS.50857	chr7:73121023-73128819:-	5154	2	24	2.5562025	5.4357	6e-40	CAD69516.1, unnamed protein product [Homo sapiens]	4.93e-34	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	393	SINE|Alu:338	86.0	86.0	0	SINE/Alu
coding	CHS.23703.1	CHS.23703	chr17_GL000258v2_alt:1245353-1264407:+	4209	2	1	1.975656	1.975656	8e-45	XP_008957429.1, PREDICTED: nucleosome-remodeling factor subunit NURF301-like, partial [Pan paniscus]	1.25e-34	sp|Q12830|BPTF_HUMAN, Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens GN=BPTF PE=1 SV=3	1.44075e-17	4.80E-06	-	-	-	-	-	-
non-coding	CHS.54989.1	CHS.54989	chr9:3750312-3759530:+	1294	2	79	2.28188464556962	5.272139	6e-22	EAW68204.1, hCG2033532 [Homo sapiens]	-	-	-	-	282	SINE|Alu:228	80.9	80.9	0	SINE/Alu
discard	CHS.56561.1	CHS.56561	chr9:114682121-114694946:+	3039	2	3	1.82341266666667	2.765579	3e-35	EHH64738.1, hypothetical protein EGM_18043, partial [Macaca fascicularis]	1.47e-30	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	405	SINE|MIR:121,SINE|Alu:266	95.6	65.7	0	SINE/Alu;SINE/MIR
discard	CHS.4917.1	CHS.4917	chr1:233535897-233547708:+	1035	4	1	1.194306	1.194306	1e-36	EAW64637.1, hCG2039009, partial [Homo sapiens]	8.10e-28	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	318	SINE|Alu:278	87.4	87.4	0	SINE/Alu
discard	CHS.39136.1	CHS.39136	chr3:184197186-184199400:+	2185	2	2	1.1481845	1.275854	5e-42	CAD69798.1, unnamed protein product [Homo sapiens]	-	-	-	-	510	SINE|MIR:69,SINE|Alu:397,Simple_repeat:21	95.5	77.8	0	SINE/Alu;SINE/MIR;Simple_repeat
discard	CHS.27113.2	CHS.27113	chr19:47243387-47247975:+	2447	2	4	0.965721	1.530007	1e-31	XP_017443260.1, PREDICTED: uncharacterized protein LOC108348722 [Rattus norvegicus]	-	-	-	-	612	SINE|Alu:118	19.3	19.3	0	SINE/Alu
non-coding	CHS.20565.1	CHS.20565	chr16:86018732-86021632:+	827	2	180	8.13525075	21.564379	3e-46	AAG35515.1, PRO2550 [Homo sapiens]	4.57e-25	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	402	Simple_repeat:41,SINE|Alu:281	80.1	69.9	0	SINE/Alu;Simple_repeat
non-coding	CHS.20565.2	CHS.20565	chr16:86018732-86027681:+	477	2	23	2.1419637826087	7.062166	1e-16	XP_017809125.1, PREDICTED: uncharacterized protein LOC101025029 isoform X2 [Papio anubis]	-	-	-	-	-	-	-	-	-	SINE/Alu;Simple_repeat
non-coding	CHS.51606.2	CHS.51606	chr7:114846790-114901990:-	3190	2	144	2.25807875694444	8.013945	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.51606.3	CHS.51606	chr7:114846129-114901990:-	3922	3	46	1.78249786956522	4.072783	4e-38	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-	-	-	342	SINE|Alu:290	84.8	84.8	0	SINE/Alu
non-coding	CHS.57446.2	CHS.57446	chrX:2819014-2824156:-	394	2	107	2.14114593457944	8.058286	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu;DNA/hAT-Charlie
non-coding	CHS.57446.1	CHS.57446	chrX:2817161-2824150:-	981	3	1	6.126138	6.126138	2e-35	EAW98704.1, hCG2042067, partial [Homo sapiens]	-	-	-	-	249	DNA|hAT-Charlie:23,SINE|Alu:101	49.8	40.6	0	SINE/Alu;DNA/hAT-Charlie
discard	CHS.26187.1	CHS.26187	chr19:20702517-20741726:-	4901	3	1	1.022872	1.022872	2e-26	CAD69516.1, unnamed protein product [Homo sapiens]	2.26e-19	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	429	SINE|Alu:240	55.9	55.9	0	SINE/Alu
discard	CHS.26247.1	CHS.26247	chr19:22926165-22927405:+	1190	2	1	2.926749	2.926749	9e-21	AAM46782.1, hepatocellular carcinoma-associated antigen HCA25a [Homo sapiens]	-	-	-	-	462	Retroposon|SVA:462	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.3643.1	CHS.3643	chr1:167716123-167716903:-	781	1	1	37.249584	37.249584	1e-15	EAW54940.1, hCG2038983, partial [Homo sapiens]	-	-	-	-	231	SINE|Alu:216	93.5	93.5	0	SINE/Alu
discard	CHS.4237.1	CHS.4237	chr1:203854501-203857849:+	1476	2	1	2.853039	2.853039	4e-31	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.44e-22	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	273	SINE|Alu:252,DNA|hAT-Charlie:21	100.0	92.3	0	SINE/Alu;DNA/hAT-Charlie
discard	CHS.374.1	CHS.374	chr1:11063249-11066558:-	730	2	4	1.057649	1.384381	5e-37	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.86e-29	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	345	DNA|hAT-Charlie:106,SINE|Alu:239	100.0	69.3	0	SINE/Alu;DNA/hAT-Charlie
discard	CHS.1885.1	CHS.1885	chr1:67612444-67626841:+	5128	4	1	2.155252	2.155252	2e-26	CAE98607.1, unnamed protein product, partial [Homo sapiens]	2.07e-16	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1	-	-	321	SINE|Alu:311	96.9	96.9	0	SINE/Alu
discard	CHS.21817.1	CHS.21817	chr17:32391126-32394789:-	1252	2	1	2.210146	2.210146	4e-18	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	7.60e-19	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	243	SINE|Alu:240	98.8	98.8	0	SINE/Alu
non-coding	CHS.35920.10	CHS.35920	chr22:40743031-40745471:+	2441	1	1901	2.59374954497633	42.129379	1e-86	AAK08113.1, FKSG69 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.35920.7	CHS.35920	chr22:40734496-40746416:+	8079	2	84	10.2606072142857	52.397812	5e-85	AAK08113.1, FKSG69 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.35920.6	CHS.35920	chr22:40731276-40746432:+	6100	2	93	8.6804168172043	24.595299	5e-85	AAK08113.1, FKSG69 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.35920.11	CHS.35920	chr22:40743060-40746643:+	3584	1	160	2.15088860625	13.889965	1e-86	AAK08113.1, FKSG69 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.35920.2	CHS.35920	chr22:40686305-40746377:+	5780	2	19	10.9253586842105	36.150448	5e-85	AAK08113.1, FKSG69 [Homo sapiens]	-	-	-	-	375	Retroposon|SVA:375	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.56361.1	CHS.56361	chr9:105194785-105226759:-	4737	2	15	1.22896533333333	1.943303	1e-28	EHH27951.1, hypothetical protein EGK_18274, partial [Macaca mulatta]	1.43e-25	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	333	SINE|Alu:299	89.8	89.8	0	SINE/Alu
non-coding	CHS.33565.1	CHS.33565	chr20:43883657-43888766:-	4102	2	49	1.73335320408163	2.932251	8e-25	BAE90406.1, unnamed protein product [Macaca fascicularis]	6.55e-18	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	258	SINE|Alu:233	90.3	90.3	0	SINE/Alu
discard	CHS.7181.1	CHS.7181	chr10:110516070-110526800:-	6685	2	1	1.443577	1.443577	3e-42	AAF69605.1, PRO1722 [Homo sapiens]	5.91e-33	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	342	SINE|Alu:324	94.7	94.7	0	SINE/Alu
non-coding	CHS.17966.1	CHS.17966	chr15:78309903-78313011:+	982	2	14	3.29167521428571	6.805175	4e-16	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	4.67e-16	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	240	SINE|Alu:197	82.1	82.1	0	SINE/Alu
discard	CHS.1172.2	CHS.1172	chr1:35117136-35118822:-	1106	2	3	2.36601933333333	3.195588	3e-33	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-	-	-	282	SINE|Alu:257	91.1	91.1	0	SINE/Alu
non-coding	CHS.1291.1	CHS.1291	chr1:39064305-39069327:+	5023	1	4720	2.8215305088983	14.362287	2e-19	XP_017715572.1, PREDICTED: putative uncharacterized protein encoded by LINC00269, partial [Rhinopithecus bieti]	-	-	-	-	303	Simple_repeat:25,SINE|Alu:211	77.9	69.6	0	SINE/Alu;Simple_repeat
discard	CHS.40504.1	CHS.40504	chr4:63917932-63918807:-	698	2	1	1.5006	1.5006	9e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	237	Retroposon|SVA:237	100.0	100.0	0	Retroposon/SVA
coding	CHS.48185.1	CHS.48185	chr6:170088077-170093059:+	2735	2	7	0.725434571428571	1.231948	4e-174	XP_016885868.1, PREDICTED: uncharacterized protein LOC107987509 [Homo sapiens]	-	-	-	-	-	-	-	-	-	-
coding	CHS.13457.2	CHS.13457	chr13:18232317-18238305:+	4741	2	3	2.209036	2.585481	0.0	CAB63715.1, hypothetical protein, partial [Homo sapiens]	0.0	sp|Q9UF83|YM012_HUMAN, Uncharacterized protein DKFZp434B061 OS=Homo sapiens PE=2 SV=2	0.000154825	-	-	-	-	-	-	-
non-coding	CHS.5820.1	CHS.5820	chr10:29812319-29819222:+	1273	2	40	1.295991375	2.372495	8e-25	EHH64647.1, hypothetical protein EGM_17921, partial [Macaca fascicularis]	3.09e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	330	SINE|Alu:209	63.3	63.3	0	SINE/Alu
discard	CHS.22339.1	CHS.22339	chr17:43426592-43442015:+	13391	2	3	1.940672	2.276676	2e-43	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	2.84e-33	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	405	SINE|Alu:405	100.0	100.0	0	SINE/Alu
discard	CHS.37188.1	CHS.37188	chr3:47486621-47494686:-	1149	2	2	4.8101555	7.397111	9e-25	EHH16997.1, hypothetical protein EGK_13278, partial [Macaca mulatta]	1.02e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	204	SINE|Alu:204	100.0	100.0	0	SINE/Alu
discard	CHS.36095.1	CHS.36095	chr22:45607864-45611996:-	2189	2	3	1.596778	2.991942	9e-33	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.23e-31	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	276	SINE|Alu:245	88.8	88.8	0	SINE/Alu
non-coding	CHS.26753.1	CHS.26753	chr19:40631099-40632297:-	1199	1	10	6.7477515	23.467049	4e-23	EHH16986.1, hypothetical protein EGK_13267, partial [Macaca mulatta]	2.32e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	303	SINE|Alu:263	86.8	86.8	0	SINE/Alu
non-coding	CHS.12732.1	CHS.12732	chr12:109778377-109782796:+	4420	1	663	1.90239541025641	14.039231	9e-25	EHH22084.1, hypothetical protein EGK_05279, partial [Macaca mulatta]	2.62e-21	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	567	SINE|Alu:397,SINE|MIR:119	91.0	70.0	0	SINE/Alu;SINE/MIR
coding	CHS.42068.1	CHS.42068	chr4:189006940-189015041:-	8048	2	1	1.425876	1.425876	3e-20	ELR54350.1, hypothetical protein M91_19196 [Bos mutus]	-	-	-	-	-	-	-	-	-	-
discard	CHS.3575.1	CHS.3575	chr1:162602018-162606761:+	3221	2	1	1.301645	1.301645	3e-21	BAB21923.1, hypothetical protein [Macaca fascicularis]	-	-	-	-	237	SINE|Alu:227	95.8	95.8	0	SINE/Alu
coding	CHS.42091.1	CHS.42091	chr4_GL000008v2_random:116291-122561:-	5415	2	3	4.33478266666667	8.571309	2e-47	EAW55841.1, hCG2038218, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	Satellite
non-coding	CHS.13535.4	CHS.13535	chr13:21651101-21670993:-	962	2	43	1.38227374418605	2.488702	8e-24	CAF14927.1, unnamed protein product, partial [Homo sapiens]	1.86e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	303	SINE|Alu:187	61.7	61.7	0	SINE/Alu
non-coding	CHS.13535.3	CHS.13535	chr13:21650601-21670964:-	1332	3	18	1.28524388888889	2.126343	8e-24	CAF14927.1, unnamed protein product, partial [Homo sapiens]	1.86e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	303	SINE|Alu:187	61.7	61.7	0	SINE/Alu
discard	CHS.47237.1	CHS.47237	chr6:113083915-113091198:-	1920	2	3	0.699546333333333	1.287141	1e-39	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	1.94e-30	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1	-	-	291	SINE|Alu:248	85.2	85.2	0	SINE/Alu
discard	CHS.6856.1	CHS.6856	chr10:93969164-93972012:-	2809	2	5	1.334467	2.105953	2e-32	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	5.86e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	462	DNA|TcMar-Tigger:50,SINE|Alu:215,Simple_repeat:55,Retroposon|SVA:111	93.3	70.6	0	SINE/Alu;Retroposon/SVA;Simple_repeat;DNA/TcMar-Tigger
non-coding	CHS.31956.1	CHS.31956	chr2:215301218-215311972:-	4616	2	15	1.0834906	2.013061	6e-23	EHH16558.1, hypothetical protein EGK_11851, partial [Macaca mulatta]	1.37e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	189	SINE|Alu:189	100.0	100.0	0	SINE/Alu
discard	CHS.20933.1	CHS.20933	chr17:1688593-1690665:-	1893	2	1	1.233361	1.233361	1e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	229	Simple_repeat:5,Retroposon|SVA:224	100.0	97.8	0	Retroposon/SVA;Simple_repeat
discard	CHS.32772.3	CHS.32772	chr20:2824562-2825751:+	838	2	3	1.454631	1.749086	3e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
coding	CHS.30107.1	CHS.30107	chr2:87358785-87363051:-	4236	2	5	1.3315672	1.996333	4e-18	ELK25717.1, hypothetical protein MDA_GLEAN10013964 [Myotis davidii]	-	-	-	-	-	-	-	-	-	Simple_repeat
non-coding	CHS.50859.1	CHS.50859	chr7:73137949-73139145:+	1197	1	479	2.37256733820459	15.516762	3e-40	XP_016809897.1, PREDICTED: zinc finger protein 454 isoform X2 [Pan troglodytes]	2.21e-25	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	369	SINE|MIR:37,SINE|Alu:287	87.8	77.8	0	SINE/Alu;SINE/MIR
